"__mclCluster","clust_id","cluster node count","EnrichmentMap::Colouring (Dataset 1)","EnrichmentMap::ES (Dataset 1)","EnrichmentMap::fdr_qvalue (Dataset 1)","EnrichmentMap::Formatted_name","EnrichmentMap::fwer_qvalue (Dataset 1)","EnrichmentMap::Genes","EnrichmentMap::GS_DESCR","EnrichmentMap::gs_size","EnrichmentMap::GS_Type","EnrichmentMap::Name","EnrichmentMap::NES (Dataset 1)","EnrichmentMap::pvalue (Dataset 1)","name","net_id","run_id","selected","shared name"
"11","11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg,11_DE-tubule_neg","10","0.97479851","0.0","0.025201498599999993","GO:0032964
,GO:0032963
,GO:0010714
,GO:0006024
,GO:0006022
,GO:0006026
,GO:0006027
,GO:0022617
,GO:0032967
,GO:1903053
","0.0","CHPF|SCX|ARRB2|TRAM2|CTSS|VSIR|MRC2|ADAMTS3|NAGLU|CTSK|NDST3|TIMP2|EMILIN1|TPSAB1|PDGFRB|OVGP1|MMP2|CSGALNACT2|BGN|F2|DCN|MMP14|VCAN|CHI3L1|PRTN3|LCP1|B4GALT7|CHST2|CD44|DDR2|CEMIP|ITIH2|LRP1|SDC3|PRELP|AEBP1|CLN6|DPP4|CHST12|HAS2|GPC5|AMELX|GPC6|RIC1|LUM|SUCO|B3GALT6|HS3ST5|COL1A1|GALNS|MFAP4|COL1A2|COL5A1|VIPAS39|VIM|HPSE|FMOD","COLLAGEN BIOSYNTHETIC PROCESS,COLLAGEN METABOLIC PROCESS,POSITIVE REGULATION OF COLLAGEN METABOLIC PROCESS,GLYCOSAMINOGLYCAN BIOSYNTHETIC PROCESS,AMINOGLYCAN METABOLIC PROCESS,AMINOGLYCAN CATABOLIC PROCESS,GLYCOSAMINOGLYCAN CATABOLIC PROCESS,EXTRACELLULAR MATRIX DISASSEMBLY,POSITIVE REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS,REGULATION OF EXTRACELLULAR MATRIX ORGANIZATION","13","ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR","GO:0032964,GO:0032963,GO:0010714,GO:0006024,GO:0006022,GO:0006026,GO:0006027,GO:0022617,GO:0032967,GO:1903053","1.0","0.025201498599999993","collagen catabolic process matrix modification","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney","false","collagen catabolic process matrix modification"
"18","18_DE-tubule_neg,18_DE-tubule_neg,18_DE-tubule_neg","3","0.9786514333333333","0.0","0.021348580000000002","GO:0030509
,GO:0071772
,GO:0071773
","0.0","NOTCH2|DLX1|SKOR1|BMP10|SMURF1|SCX|RGMB|SULF1|FSTL1|RUNX2|FSTL3|TMEM100|GDF9|HEYL|SFRP2|VWC2L|PELO|NEO1|FBN1|MAPK3","BMP SIGNALING PATHWAY,RESPONSE TO BMP,CELLULAR RESPONSE TO BMP STIMULUS","19","ENR,ENR,ENR","GO:0030509,GO:0071772,GO:0071773","1.0","0.021348580000000002","cellular response bmp stimulus","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney","false","cellular response bmp stimulus"
"17","17_DE-tubule_neg,17_DE-tubule_neg,17_DE-tubule_neg","3","0.9877908333333333","0.0","0.012209173333333335","GO:0097205
,GO:0003094
,GO:0003014
","0.0","WFS1|PRKAR2B|MCAM|HAS2|EMP2|PKN1|IGHA1|CORO2B|PCSK5|JCHAIN|GNAI2","RENAL FILTRATION,GLOMERULAR FILTRATION,RENAL SYSTEM PROCESS","7","ENR,ENR,ENR","GO:0097205,GO:0003094,GO:0003014","1.0","0.012209173333333335","glomerular filtration renal process","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney","false","glomerular filtration renal process"
"8","8_DE-tubule_neg,8_DE-tubule_neg,8_DE-tubule_neg,8_DE-tubule_neg,8_DE-tubule_neg","5","0.98654852","0.0","0.0134514564","GO:0032680
,GO:0071706
,GO:0032640
,GO:1903555
,GO:1903556
","0.0","CX3CR1|IFNGR1|CARD9|AKAP8|NOD1|HMGB1|VSIR|CLEC4A|MC1R|PTPRC|SYT11|AXL|IL17F|LTF","REGULATION OF TUMOR NECROSIS FACTOR PRODUCTION,TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION,TUMOR NECROSIS FACTOR PRODUCTION,REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION,NEGATIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION","12","ENR,ENR,ENR,ENR,ENR","GO:0032680,GO:0071706,GO:0032640,GO:1903555,GO:1903556","1.0","0.0134514564","TNF production","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney,kidney,kidney","false","TNF production"
"19","19_DE-tubule_neg,19_DE-tubule_neg,19_DE-tubule_neg","3","0.9784186","0.0","0.021581379333333334","GO:0071380
,GO:0034695
,GO:0034694
","0.0","CCL21|PTGER2|TNFSF4|PRKCE|GNB1|AKAP8|GNRH1|PPP1R9B","CELLULAR RESPONSE TO PROSTAGLANDIN E STIMULUS,RESPONSE TO PROSTAGLANDIN E,RESPONSE TO PROSTAGLANDIN","7","ENR,ENR,ENR","GO:0071380,GO:0034695,GO:0034694","1.0","0.021581379333333334","Response to prostaglandin stimulus","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney","false","Response to prostaglandin stimulus"
"12","12_DE-tubule_neg,12_DE-tubule_neg,12_DE-tubule_neg,12_DE-tubule_neg","4","0.9828406249999999","0.0","0.01715935125","GO:0050766
,GO:0050764
,GO:0045807
,GO:0043277
","0.0","ANXA1|LRP1|CCL21|SLC11A1|SPHK1|ITSN1|ARRB1|HMGB1|C3|CLIP3|PTPRC|RAB31|SYT11|AXL|CCL2|XKR5","POSITIVE REGULATION OF PHAGOCYTOSIS,REGULATION OF PHAGOCYTOSIS,POSITIVE REGULATION OF ENDOCYTOSIS,APOPTOTIC CELL CLEARANCE","7","ENR,ENR,ENR,ENR","GO:0050766,GO:0050764,GO:0045807,GO:0043277","1.0","0.01715935125","phagocytosis apoptotic cell clearance","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney,kidney","false","phagocytosis apoptotic cell clearance"
"2","2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg,2_DE-tubule_neg","34","0.9731017999999999","0.0","0.02689819864705882","GO:0070665
,GO:1990868
,GO:1990869
,GO:0002819
,GO:0051250
,GO:0032814
,GO:0042088
,GO:0032816
,GO:0030593
,GO:0032735
,GO:0032615
,GO:0019730
,GO:0008347
,GO:0002822
,GO:0032655
,GO:0071222
,GO:0050864
,GO:0070098
,GO:0002825
,GO:0032609
,GO:0071622
,GO:0071347
,GO:0071621
,GO:0032689
,GO:0061844
,GO:0097530
,GO:0002920
,GO:0002695
,GO:1905517
,GO:0002687
,GO:0032946
,GO:1990266
,GO:1905523
,GO:1905521
","0.0","CSF1|EPO|REG1A|AHR|PYCARD|IGHG4|IGHG1|IGHG2|ZC3H12A|IL12B|FAM3A|TRIM27|PRSS3|SLC11A1|FLT3LG|VRK2|HLA-F|ISL1|IL23A|PRTN3|WFDC10A|ZNF675|CSF1R|REG3A|CFH|CCL3L3|ZBTB1|HMHB1|MEFV|SAMSN1|RASGRP1|C3|DPP4|BLOC1S6|PIP5K1C|IGHA1|CD99|CD276|KLRC2|WNT3A|DEFA5|IGF2|ISG15|EIF2AK4|INHBA|LYZ|BST1|PTPRC|TMEM98|TNFSF4|CXCL6|CD40|CXCL8|ITGB2|CXCL1|HMGB1|ARRB2|CXCL3|CXCL5|VSIR|JCHAIN|MDK|EMILIN1|CD36|HAVCR2|NKX3-1|ANXA1|DCD|BTN3A2|F2|VAV1|F7|MMP14|VCAN|H2BC10|CHI3L1|IRF5|ZP3|LTF|CX3CR1|CCL13|LRP1|AKAP8|NOD1|AIF1|MALT1|PSMB10|RELB|CCL8|CCL5|CCL2|HAS2|TIGIT|GBP1|MAPK3|IL33|CCL21|CCL20|MBOAT7|LAPTM5|FOXJ1|IGLL5|AXL|SYT11|CLCF1|ACKR4|IL17F|PKN1|CKLF","POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION,RESPONSE TO CHEMOKINE,CELLULAR RESPONSE TO CHEMOKINE,REGULATION OF ADAPTIVE IMMUNE RESPONSE,NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION,REGULATION OF NATURAL KILLER CELL ACTIVATION,T-HELPER 1 TYPE IMMUNE RESPONSE,POSITIVE REGULATION OF NATURAL KILLER CELL ACTIVATION,NEUTROPHIL CHEMOTAXIS,POSITIVE REGULATION OF INTERLEUKIN-12 PRODUCTION,INTERLEUKIN-12 PRODUCTION,ANTIMICROBIAL HUMORAL RESPONSE,GLIAL CELL MIGRATION,REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS,REGULATION OF INTERLEUKIN-12 PRODUCTION,CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE,REGULATION OF B CELL ACTIVATION,CHEMOKINE-MEDIATED SIGNALING PATHWAY,REGULATION OF T-HELPER 1 TYPE IMMUNE RESPONSE,INTERFERON-GAMMA PRODUCTION,REGULATION OF GRANULOCYTE CHEMOTAXIS,CELLULAR RESPONSE TO INTERLEUKIN-1,GRANULOCYTE CHEMOTAXIS,NEGATIVE REGULATION OF INTERFERON-GAMMA PRODUCTION,ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE,GRANULOCYTE MIGRATION,REGULATION OF HUMORAL IMMUNE RESPONSE,NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION,MACROPHAGE MIGRATION,POSITIVE REGULATION OF LEUKOCYTE MIGRATION,POSITIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION,NEUTROPHIL MIGRATION,POSITIVE REGULATION OF MACROPHAGE MIGRATION,REGULATION OF MACROPHAGE MIGRATION","12","ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR,ENR","GO:0070665,GO:1990868,GO:1990869,GO:0002819,GO:0051250,GO:0032814,GO:0042088,GO:0032816,GO:0030593,GO:0032735,GO:0032615,GO:0019730,GO:0008347,GO:0002822,GO:0032655,GO:0071222,GO:0050864,GO:0070098,GO:0002825,GO:0032609,GO:0071622,GO:0071347,GO:0071621,GO:0032689,GO:0061844,GO:0097530,GO:0002920,GO:0002695,GO:1905517,GO:0002687,GO:0032946,GO:1990266,GO:1905523,GO:1905521","1.0","0.02689819864705882","Macrophage and Granulocyte chemotaxis","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney,kidney","false","Macrophage and Granulocyte chemotaxis"
"3","3_DE-tubule_neg,3_DE-tubule_neg,3_DE-tubule_neg,3_DE-tubule_neg,3_DE-tubule_neg,3_DE-tubule_neg","6","0.9707710666666668","0.0","0.02922894","GO:0016101
,GO:0006720
,GO:0001523
,GO:0034754
,GO:0034308
,GO:0006721
","0.0","PDGFRA|DHRS9|LRP1|ADH1A|AKR1C1|AKR1B15|DKK3","DITERPENOID METABOLIC PROCESS,ISOPRENOID METABOLIC PROCESS,RETINOID METABOLIC PROCESS,CELLULAR HORMONE METABOLIC PROCESS,PRIMARY ALCOHOL METABOLIC PROCESS,TERPENOID METABOLIC PROCESS","5","ENR,ENR,ENR,ENR,ENR,ENR","GO:0016101,GO:0006720,GO:0001523,GO:0034754,GO:0034308,GO:0006721","1.0","0.02922894","terpenoid metabolic process","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney,kidney,kidney,kidney","false","terpenoid metabolic process"
"4","4_DE-tubule_neg,4_DE-tubule_neg,4_DE-tubule_neg,4_DE-tubule_neg,4_DE-tubule_neg,4_DE-tubule_neg","6","0.9739972166666666","0.0","0.026002769999999998","GO:0030316
,GO:0002761
,GO:1902107
,GO:0045670
,GO:0045639
,GO:1903708
","0.0","NOTCH2|CSF1R|CSF1|ZBTB46|TCIRG1|HMGB1|VSIR|MALT1|FSTL3|RASSF2|MYC|IL12B|PIAS3|ANXA1|ARNT|INHBA|OSCAR|MMP14|PTPRC|IL23A|FES|AXL|RBP1|HCLS1|EVI2B|ZNF675|FBN1|LTF","OSTEOCLAST DIFFERENTIATION,REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION,POSITIVE REGULATION OF LEUKOCYTE DIFFERENTIATION,REGULATION OF OSTEOCLAST DIFFERENTIATION,POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION,POSITIVE REGULATION OF HEMOPOIESIS","12","ENR,ENR,ENR,ENR,ENR,ENR","GO:0030316,GO:0002761,GO:1902107,GO:0045670,GO:0045639,GO:1903708","1.0","0.026002769999999998","Myeloid Differentiation","DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg,DE-tubule_neg","kidney,kidney,kidney,kidney,kidney,kidney","false","Myeloid Differentiation"
"23","23_DE-tubule_neg,23_DE-tubule_neg","2","0.9708633","0.0","0.02913674","GO:0032663
,GO:0032623
","0.0","PTPRC|ANXA1|CARD9|LAPTM5|TNFAIP3|IL17F|PRKD2|GBP1|MALT1|HAVCR2|HDAC7","REGULATION OF INTERLEUKIN-2 PRODUCTION,INTERLEUKIN-2 PRODUCTION","11","ENR,ENR","GO:0032663,GO:0032623","1.0","0.02913674","regulation interleukin 2 production","DE-tubule_neg,DE-tubule_neg","kidney,kidney","false","regulation interleukin 2 production"
